SegmentInL1	SegmentInL2
La petite Antigone va pouvoir être elle-même pour la première fois.	Little Antigone is going to be able to be herself for the first time in her life.
Le chœur disparaît, tandis que les gardes poussent Antigone en scène.	The chorus disappears, while the guards push Antigone onto the stage.
TABLEAU X : ANTIGONE, LES GARDES	SCENE X: ANTIGONE, THE GUARDS
LE GARDE	THE GUARD
qui a repris tout son aplomb.	who has completely recovered his composure.
Allez, allez, pas d'histoires ! Vous vous expliquerez devant le chef. Moi, je ne connais que la consigne.	Move it, move it, no funny business! You can tell it to the boss. I'm just following orders.
Ce que vous aviez à faire là, je ne veux pas le savoir. Tout le monde a des excuses, tout le monde a quelque chose à objecter. S'il fallait écouter les gens, s'il fallait essayer de comprendre, on serait propres.	I'm not interested in what you were doing there. They've all got excuses, they're all special. If you had to listen to everyone, if you had to understand why they did it, we'd be in a right mess.
Allez, allez ! Tenez-la, vous autres, et pas d'histoires ! Moi, ce qu'elle a à dire, je ne veux pas le savoir !	Come on, move it! You others, keep her there and don't let her try anything. Whatever she wants to say, I'm not interested!
ANTIGONE	ANTIGONE
Dis-leur de me lâcher, avec leurs sales mains, ils me font mal.	Tell them to take their dirty hands off me, they're hurting me.
LE GARDE	THE GUARD
Leurs sales mains ? Vous pourriez être polie, Mademoiselle... Moi, je suis poli.	Their dirty hands? You could try being polite, miss. Me, I'm polite.
ANTIGONE	ANTIGONE
Dis-leur de me lâcher. Je suis la fille d'Œdipe, je suis Antigone. Je ne me sauverai pas.	Tell them to let go of me. I am the daughter of Oedipus, I am Antigone. I won't try to escape.
LE GARDE	THE GUARD
La fille d'Œdipe, oui ! Les putains qu'on ramasse à la garde de nuit, elles disent aussi de se méfier, qu'elles sont la bonne amie du préfet de police !	The daughter of Oedipus, right! Those hookers they bring in at night, they always say you watch it, my boyfriend is a police inspector!
Ils rigolent.	They laugh.
ANTIGONE	ANTIGONE
Je veux bien mourir, mais pas qu'ils me touchent !	I don't mind dying, but don't let them touch me!
LE GARDE	THE GUARD
Et les cadavres, dis, et la terre, ça ne te fait pas peur à toucher ? Tu dis « leurs sales mains » ! Regarde un peu les tiennes.	"Yeah. But dead bodies and shit, you don't mind touching that, right? You said ""their dirty hands"". Just look at yours."
Antigone regarde ses mains tenues par les menottes avec un petit sourire.	Antigone looks at her cuffed hands with a little smile.
Elles sont pleines de terre.	They are covered in earth.
LE GARDE	THE GUARD
On te l'avait prise, ta pelle ?	Took your spade, did they?
Il a fallu que tu refasses ça avec tes ongles, la deuxième fois ?	So next time you had to do it with your fingers?
Ah ! cette audace. Je tourne le dos une seconde, je te demande une chique, et allez, le temps de me la caler dans la joue, le temps de dire merci, elle était là, à gratter comme une petite hyène.	Ah! the fucking cheek of her. I turn my back for a moment, I ask for a smoke, and before I've got time to light up and say thank you she's back again scraping away like a little hyena.
Et en plein jour ! Et c'est qu'elle se débattait, cette garce, quand j'ai voulu la prendre !	Right in the middle of the day! And then the way the bitch carries on when I grab her.
C'est qu'elle voulait me sauter aux yeux ! Elle criait qu'il fallait qu'elle finisse... C'est une folle, oui !	Tries to scratch my eyes out! Yelling she hasn't finished... fucking crazy, yeah.
LE DEUXIEME GARDE	THE SECOND GUARD
J'en ai arrêté une autre, de folle, l'autre jour. Elle montrait son cul aux gens.	I arrested one of those crazies the other day. Standing there showing her cunt to everyone.
LE GARDE	THE GUARD
Dis, Boudousse, qu'est-ce qu'on va se payer comme gueuleton tous les trois, pour fêter ça !	Hey Boudousse, where do you think we should go to celebrate?
LE DEUXIEME GARDE	THE SECOND GUARD
Chez la Tordue. Il est bon, son rouge.	How about the Twisted Wrist? I like their red.
LE TROISIEME GARDE	THE THIRD GUARD
On a quartier libre, dimanche. Si on emmenait les femmes ?	We're due for some R&R on Sunday. What you say we bring the wives along?
LE GARDE	THE GUARD
Non, entre nous qu'on rigole... Avec les femmes, il y a toujours des histoires, et puis les moutards qui veulent pisser.	No, we'll have more fun on our own... You bring the wives, something always happens. And then the fucking kids need to go for a piss and where are you?
Ah ! dis, Boudousse, tout à l'heure, on ne croyait pas qu'on aurait envie de rigoler comme ça, nous autres !	Fuck Boudousse, half an hour ago I didn't think we'd be sitting here laughing.
LE DEUXIEME GARDE	THE SECOND GUARD
Ils vont peut-être nous donner une récompense.	Maybe they'll give us a reward.
LE GARDE	THE GUARD
Ça se peut, si c'est important.	Could be. If it's important.
LE DEUXIEME GARDE	THE SECOND GUARD
Flanchard, de la Troisième, quand il a mis la main sur l'incendiaire, le mois dernier, il a eu le mois double.	Flanchard from the Third, when he caught the fucking arsonist last month he got double pay.
LE TROISIEME GARDE	THE THIRD GUARD
Ah, dis donc ! Si on a le mois double, je propose : au lieu d'aller chez la Tordue, on va au Palais arabe.	No shit! Look, if we get double pay, how about we skip the Twisted Wrist and go to the Arab Palace.
LE GARDE	THE GUARD
Pour boire ? T'es pas fou ? Ils te vendent la bouteille le double au Palais. Pour monter, d'accord.	To drink? You fucking crazy? They charge fucking double for a bottle at the Palace. But if we're going in the back, sure.
Ecoutez-moi, je vais vous dire : on va d'abord chez la Tordue, on se les cale comme il faut et après on va au Palais. Dis, Boudousse, tu te rappelles la grosse, du palais?	Look, here's what we do: we go to the Twisted Wrist first, have a few, then on to the Palace. Hey Boudousse, you remember the fat chick at the Palace?
LE DEUXIEME GARDE	THE SECOND GUARD
Ah ! ce que t'étais saoul, toi, ce jour-là !	Ha! You was so fucking drunk that day!
LE TROISIEME GARDE	THE THIRD GUARD
Mais nos femmes, si on a le mois double, elles le sauront. Si ça se trouve, on sera peut-être publiquement félicités.	But look, if we get double then the wives will know. They'll give us a public citation or something.
LE GARDE	THE GUARD
Alors, on verra. La rigolade c'est autre chose.	Okay, let's see what happens. We'll figure it out.
S'il y a une cérémonie dans la cour de la caserne, comme pour les décorations, les femmes viendront aussi, et les gosses. Et alors on ira tous chez la Tordue.	If they do a big show at the barracks, like when they hand out the medals, the wives'll be there too and the kids. So then we go to the Twisted Wrist.
LE DEUXIEME GARDE	THE SECOND GUARD
Oui, mais il faudra lui commander le menu d'avance.	Yeah, but then we need to order ahead of time.
ANTIGONE,	ANTIGONE,
demande d'une petite voix.	asks in a small voice
Je voudrais m'asseoir un peu, s'il vous plaît.	I would like to sit down, please.
LE GARDE	THE GUARD
après un temps de réflexion.	after thinking it over
C'est bon, qu'elle s'asseye. Mais ne la lâchez pas, vous autres.	It's okay, she can sit down. But don't let go of her.
Créon entre, le garde gueule aussitôt.	Creon enters, the guard immediately yells.
TABLEAU XI : ANTIGONE, LES GARDES, CREON, LE PAGE	SCENE XI: ANTIGONE, THE GUARDS, CREON, THE PAGE
LE GARDE	THE GUARD
Garde à vous !	Attention!
CREON,	CREON,
s'est arrêté, surpris.	stops, surprised.
Lâchez cette jeune fille. Qu'est-ce que c'est ?	Release that young woman. What is this?
LE GARDE	THE GUARD
C'est le piquet de garde, chef. On est venu avec les camarades.	Guard patrol, boss. I'm here with the guys.
CREON	CREON
Qui garde le corps ?	Who is guarding the body?
LE GARDE	THE GUARD
On a appelé la relève, chef.	We called the relief, boss.
CREON	CREON
Je t'avais dit de la renvoyer ! Je t'avais dit de ne rien dire.	I ordered you to send them back! I ordered you not to say anything.
LE GARDE	THE GUARD
On n'a rien dit, chef. Mais comme on a arrêté celle-là, on a pensé qu'il fallait qu'on vienne.	No one's said anything, boss. But now we managed to catch her over there, we figured we better come.
Et cette fois on n'a pas tiré au sort. On a préféré venir tous les trois.	And this time we didn't draw lots. We're all here.
CREON	CREON
Imbéciles !	Idiots!
(A Antigone.)	(To Antigone.)
Où t'ont-ils arrêtée?	Where did they arrest you?
LE GARDE	THE GUARD
Près du cadavre, chef.	Next to the body, boss.
CREON	CREON
Qu'allais-tu faire près du cadavre de ton frère? Tu savais que j'avais interdit de l'approcher.	What were you doing next to the body of your brother? You know I have forbidden anyone to approach it.
LE GARDE	THE GUARD
Ce qu'elle faisait, chef ? C'est pour ça qu'on vous l'amène. Elle grattait la terre avec ses mains. Elle était en train de le recouvrir encore une fois.	What she was doing, boss? That's why we're bringing her in to you. She was scooping up the dirt with her hands. Trying to cover him up again.
CREON	CREON
Sais-tu bien ce que tu es en train de dire, toi ?	You, do you fully understand what you are saying?
LE GARDE	THE GUARD
Chef, vous pouvez demander aux autres. On avait dégagé le corps à mon retour ; mais avec le soleil qui chauffait, comme il commençait à sentir, on s'est mis sur une petite hauteur, pas loin, pour être dans le vent.	Boss, you can ask the others. When I got back, we'd uncovered the body again. But the sun was getting warm and it was starting to stink so we went up on that little hill, really close you know, we just wanted to get upwind of it.
On se disait qu'en plein jour on ne risquait rien. Pourtant, on avait décidé, pour être plus sûrs, qu'il y en aurait toujours un de nous trois qui le regarderait.	We figured like, right in the middle of the day, what could happen? But anyway we decided, let's be double sure, one of us is always gonna be watching it.
Mais à midi, en plein soleil, et puis avec l'odeur qui montait depuis que le vent était tombé, c'était comme un coup de massue. J'avais beau écarquiller les yeux, ça tremblait comme de la gélatine, je voyais plus. Je vais au camarade lui demander une chique, pour passer ça...	But it gets towards noon, sun's beating down, and suddenly there's no wind so you really notice the smell. I've got my eyes trained on it but the air's shaking like jelly with the heat, you can't see a thing. I go over to the other guy and ask if he's got a smoke.
Le temps que je me la cale à la joue, chef, le temps que je lui dise merci, je me retourne : elle était là à gratter avec ses mains. En plein jour ! Elle devait bien penser qu'on ne pouvait pas ne pas la voir.	I light up, I say thank you, I turn around and there she is scraping away with her bare hands. In the middle of the day! Guess she must have thought we wouldn't notice her.
Et quand elle a vu que je lui courais dessus, vous croyez qu'elle s'est arrêtée, qu'elle a essayé de se sauver, peut-être ? Non. Elle a continué de toutes ses forces aussi vite qu'elle pouvait, comme si elle ne me voyait pas arriver.	And when she sees me running towards her, do you think she stopped, do you think she tried to escape? Nope. She just carries on as quick she can, like she didn't even see me coming.
Et quand je l'ai empoignée, elle se débattait comme une diablesse, elle voulait continuer encore, elle me criait de la laisser, que le corps n'était pas encore tout à fait recouvert.	And when I grabbed hold of her she starts twisting around, biting and scratching, she wants to carry on, she yells at me to let her go, the body isn't properly covered up yet.
CREON,	CREON,
à Antigone.	to Antigone.
C'est vrai ?	Is this true?
ANTIGONE	ANTIGONE
Oui, c'est vrai.	Yes, that's right.
